student_id,major,year,current_semester,gpa,completed_credits,completed_courses,course_grades,failed_courses,career_goal,career_track,max_credits_per_semester,study_hours_per_week,risk_level,recommended_credits,weak_skills
UET230001,Kỹ thuật Robot,1,1,3.66,38,ELT1007;ELT3240;FLF1107;HIS1001;INT1008;INT2210;MAT1041;MAT1042;MAT1093;MAT1101;PHI1002;THL1057,ELT1007:A+;ELT3240:B+;FLF1107:B+;HIS1001:A;INT1008:B+;INT2210:A;MAT1041:A;MAT1042:A+;MAT1093:B+;MAT1101:A;PHI1002:B+;THL1057:A,,Motion Planning Engineer,Robot thông minh,22,8,LOW,20,
UET230002,Kỹ thuật Robot,1,2,3.55,28,ELT1007;ELT3240;EPN1095;FLF1107;INT1008;INT1009;MAT1041;MAT1042;POL1001,ELT1007:A+;ELT3240:B+;EPN1095:A+;FLF1107:A+;INT1008:B+;INT1009:B;MAT1041:B+;MAT1042:B;POL1001:A,,Mobile Robotics Developer,Robot thông minh,22,6,LOW,20,
UET230003,Kỹ thuật Robot,1,2,3.06,44,ELT1007;ELT2035;ELT3240;EPN1095;FLF1107;HIS1001;INT1008;INT2210;MAT1041;MAT1093;MAT1101;PHI1002;PHI1006;POL1001;THL1057,ELT1007:B;ELT2035:C+;ELT3240:A;EPN1095:B;FLF1107:B+;HIS1001:B;INT1008:B;INT2210:C+;MAT1041:B;MAT1093:B;MAT1101:B+;PHI1002:B+;PHI1006:B;POL1001:B;THL1057:C+,,Embedded Systems Developer,Tự động hóa công nghiệp,20,9,LOW,18,Embedded C/C++
UET230004,Kỹ thuật Robot,1,1,2.19,36,ELT2035;ELT3240;EPN1095;EPN1096;FLF1107;HIS1001;INT1008;INT1009;MAT1041;PEC1008;PHI1006;RBE1001;THL1057,ELT2035:C+;ELT3240:B;EPN1095:C;EPN1096:C;FLF1107:D+;HIS1001:D+;INT1008:B;INT1009:C+;MAT1041:C;PEC1008:C+;PHI1006:D+;RBE1001:C+;THL1057:C+,,PLC Programmer,Tự động hóa công nghiệp,18,12,MEDIUM,16,PLC/SCADA;Toán nền tảng
UET230005,Kỹ thuật Robot,1,1,3.48,25,ELT1007;ELT3240;EPN1095;EPN1096;INT1008;INT2210;MAT1041;MAT1101;POL1001,ELT1007:B+;ELT3240:B+;EPN1095:B+;EPN1096:A;INT1008:B+;INT2210:B+;MAT1041:B+;MAT1101:B+;POL1001:B,,Embedded Robotics Engineer,Tự động hóa công nghiệp,22,7,LOW,20,Embedded C/C++
UET230006,Kỹ thuật Robot,1,2,2.26,36,ELT1007;ELT3240;EPN1095;FLF1107;INT1008;INT1009;INT2210;MAT1041;MAT1042;PHI1002;POL1001;THL1057,ELT1007:C;ELT3240:C;EPN1095:B;FLF1107:C;INT1008:C+;INT1009:C;INT2210:C;MAT1041:C+;MAT1042:C+;PHI1002:C;POL1001:B;THL1057:C,,Cloud Robotics Developer,Robot thông minh,18,10,MEDIUM,16,Lập trình
UET230007,Kỹ thuật Robot,1,2,2.0,25,ELT1007;EPN1095;EPN1096;INT1008;INT1009;INT2210;MAT1041;MAT1101;RBE1001,ELT1007:B;ELT3240:F;EPN1095:B;EPN1096:C;INT1008:C+;INT1009:D+;INT2210:C+;MAT1041:C;MAT1101:C;RBE1001:C,ELT3240,Industrial Automation Engineer,Tự động hóa công nghiệp,18,12,MEDIUM,16,Lập trình;Toán nền tảng
UET230008,Kỹ thuật Robot,1,1,2.56,27,ELT1007;ELT3240;HIS1001;INT1008;INT2210;MAT1041;MAT1042;PEC1008;PHI1006,ELT1007:B;ELT3240:D+;HIS1001:B;INT1008:B;INT2210:D+;MAT1041:B;MAT1042:B;PEC1008:B;PHI1006:C+,,Mobile Robotics Developer,Robot thông minh,20,10,MEDIUM,18,Lập trình
UET230009,Kỹ thuật Robot,1,2,2.06,22,ELT1007;EPN1095;INT1008;INT2210;MAT1041;PEC1008;PHI1006;RBE1001,ELT1007:C+;EPN1095:C+;HIS1001:F;INT1008:C+;INT2210:C+;MAT1041:D+;PEC1008:C+;PHI1006:C;RBE1001:C+,HIS1001,Computer Vision Engineer,Robot thông minh,18,12,MEDIUM,16,OpenCV;Toán nền tảng
UET230010,Kỹ thuật Robot,1,2,3.11,45,ELT1007;ELT2035;EPN1095;EPN1096;FLF1107;INT1008;MAT1041;MAT1042;MAT1093;MAT1101;PEC1008;PHI1002;PHI1006;POL1001;RBE1001;THL1057,ELT1007:B;ELT2035:B+;EPN1095:C+;EPN1096:C+;FLF1107:B;INT1008:B;MAT1041:B;MAT1042:B;MAT1093:B;MAT1101:A;PEC1008:B+;PHI1002:B;PHI1006:A;POL1001:B;RBE1001:C+;THL1057:A,,Autonomous Mobile Robot (AMR) Engineer,Robot thông minh,20,8,LOW,18,
